# k     pk_smooth     pk_ratio
0.000571364 2232.42 2.06766e-05
0.000574465 2243.94 2.25698e-05
0.000577582 2255.53 2.45629e-05
0.000580717 2267.17 2.66579e-05
0.000583869 2278.86 2.88571e-05
0.000587038 2290.62 3.11625e-05
0.000590224 2302.44 3.35764e-05
0.000593427 2314.31 3.61008e-05
0.000596648 2326.25 3.87381e-05
0.000599886 2338.24 4.14904e-05
0.000603142 2350.29 4.436e-05
0.000606415 2362.41 4.73492e-05
0.000609706 2374.58 5.04604e-05
0.000613015 2386.82 5.36958e-05
0.000616342 2399.11 5.70579e-05
0.000619687 2411.47 6.05491e-05
0.00062305 2423.89 6.41717e-05
0.000626432 2436.37 6.79283e-05
0.000629832 2448.91 7.18214e-05
0.00063325 2461.52 7.58534e-05
0.000636687 2474.18 8.0027e-05
0.000640142 2486.91 8.43446e-05
0.000643616 2499.71 8.88089e-05
0.00064711 2512.56 9.34226e-05
0.000650622 2525.49 9.81883e-05
0.000654153 2538.47 0.000103109
0.000657703 2551.52 0.000108187
0.000661272 2564.63 0.000113425
0.000664861 2577.81 0.000118825
0.00066847 2591.05 0.000124391
0.000672098 2604.36 0.000130121
0.000675745 2617.74 0.000136018
0.000679413 2631.18 0.000142083
0.0006831 2644.68 0.000148316
0.000686808 2658.26 0.00015472
0.000690535 2671.9 0.000161295
0.000694283 2685.6 0.000168042
0.000698051 2699.38 0.000174964
0.000701839 2713.22 0.00018206
0.000705648 2727.13 0.000189333
0.000709478 2741.11 0.000196784
0.000713329 2755.16 0.000204415
0.0007172 2769.27 0.000212227
0.000721093 2783.46 0.000220221
0.000725006 2797.71 0.000228399
0.000728941 2812.04 0.000236763
0.000732897 2826.43 0.000245314
0.000736875 2840.9 0.000254053
0.000740874 2855.43 0.000262984
0.000744895 2870.04 0.000272107
0.000748938 2884.72 0.000281424
0.000753002 2899.47 0.000290937
0.000757089 2914.29 0.000300648
0.000761198 2929.18 0.000310558
0.000765329 2944.15 0.000320671
0.000769483 2959.19 0.000330986
0.000773659 2974.3 0.000341508
0.000777858 2989.49 0.000352237
0.00078208 3004.75 0.000363176
0.000786324 3020.08 0.000374326
0.000790592 3035.49 0.000385691
0.000794882 3050.97 0.000397272
0.000799196 3066.53 0.000409072
0.000803534 3082.16 0.000421092
0.000807895 3097.87 0.000433336
0.00081228 3113.65 0.000445805
0.000816688 3129.51 0.000458502
0.00082112 3145.45 0.000471429
0.000825577 3161.47 0.000484589
0.000830058 3177.56 0.000497985
0.000834562 3193.73 0.000511619
0.000839092 3209.97 0.000525493
0.000843646 3226.3 0.000539607
0.000848225 3242.7 0.000553963
0.000852828 3259.18 0.00056856
0.000857457 3275.74 0.000583399
0.00086211 3292.38 0.000598482
0.000866789 3309.1 0.000613808
0.000871493 3325.9 0.000629379
0.000876223 3342.78 0.000645196
0.000880979 3359.74 0.000661258
0.00088576 3376.78 0.000677568
0.000890567 3393.91 0.000694126
0.000895401 3411.11 0.000710934
0.00090026 3428.4 0.000727991
0.000905146 3445.77 0.000745301
0.000910059 3463.22 0.000762862
0.000914998 3480.76 0.000780678
0.000919964 3498.37 0.000798748
0.000924957 3516.08 0.000817075
0.000929977 3533.86 0.00083566
0.000935024 3551.73 0.000854504
0.000940099 3569.69 0.000873608
0.000945201 3587.72 0.000892975
0.000950331 3605.85 0.000912606
0.000955488 3624.06 0.000932502
0.000960674 3642.36 0.000952665
0.000965888 3660.74 0.000973096
0.00097113 3679.21 0.000993799
0.000976401 3697.76 0.00101477
0.0009817 3716.41 0.00103602
0.000987028 3735.14 0.00105755
0.000992385 3753.96 0.00107935
0.00099777 3772.86 0.00110144
0.00100319 3791.86 0.0011238
0.00100863 3810.94 0.00114645
0.0010141 3830.12 0.00116939
0.00101961 3849.38 0.00119262
0.00102514 3868.73 0.00121614
0.00103071 3888.18 0.00123995
0.0010363 3907.71 0.00126406
0.00104192 3927.33 0.00128847
0.00104758 3947.05 0.00131318
0.00105326 3966.86 0.00133819
0.00105898 3986.76 0.00136351
0.00106473 4006.75 0.00138913
0.00107051 4026.83 0.00141505
0.00107632 4047.01 0.00144127
0.00108216 4067.28 0.00146778
0.00108803 4087.65 0.00149459
0.00109394 4108.11 0.0015217
0.00109987 4128.66 0.00154911
0.00110584 4149.3 0.0015768
0.00111184 4170.05 0.00160479
0.00111788 4190.88 0.00163307
0.00112395 4211.82 0.00166164
0.00113005 4232.85 0.00169049
0.00113618 4253.97 0.00171964
0.00114234 4275.19 0.00174908
0.00114854 4296.51 0.0017788
0.00115478 4317.93 0.00180881
0.00116105 4339.44 0.0018391
0.00116735 4361.06 0.00186968
0.00117368 4382.77 0.00190055
0.00118005 4404.57 0.0019317
0.00118646 4426.48 0.00196313
0.0011929 4448.49 0.00199485
0.00119937 4470.6 0.00202686
0.00120588 4492.8 0.00205915
0.00121242 4515.11 0.00209172
0.001219 4537.52 0.00212458
0.00122562 4560.03 0.00215773
0.00123227 4582.64 0.00219115
0.00123896 4605.35 0.00222487
0.00124568 4628.17 0.00225887
0.00125244 4651.08 0.00229316
0.00125924 4674.1 0.00232773
0.00126608 4697.22 0.00236259
0.00127295 4720.45 0.00239774
0.00127986 4743.78 0.00243318
0.0012868 4767.21 0.0024689
0.00129379 4790.75 0.00250492
0.00130081 4814.39 0.00254123
0.00130787 4838.14 0.00257784
0.00131497 4861.99 0.00261473
0.0013221 4885.95 0.00265193
0.00132928 4910.02 0.00268941
0.00133649 4934.19 0.0027272
0.00134375 4958.47 0.00276527
0.00135104 4982.85 0.00280365
0.00135837 5007.34 0.00284231
0.00136574 5031.94 0.00288126
0.00137316 5056.65 0.00292051
0.00138061 5081.47 0.00296004
0.0013881 5106.39 0.00299987
0.00139563 5131.42 0.00303999
0.00140321 5156.57 0.00308039
0.00141082 5181.82 0.00312109
0.00141848 5207.18 0.00316207
0.00142618 5232.65 0.00320335
0.00143392 5258.24 0.00324491
0.0014417 5283.93 0.00328676
0.00144953 5309.74 0.0033289
0.00145739 5335.65 0.00337133
0.0014653 5361.68 0.00341405
0.00147326 5387.82 0.00345707
